open,high,low,close,volume,rsi,macd,macd_signal,boll_upper,boll_lower
0.44974440449481345,0.4479108888730722,0.44371864488502644,0.4475960981095971,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.43961289648488655,0.43651125958666304,0.4424355397171241,0.4396781620019198,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.43705089982625045,0.4420947714048228,0.4360200138776128,0.44410285703625274,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.44205841451890515,0.44616603588321524,0.44185227773415636,0.4484111758484691,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.448114059138801,0.45023730036160814,0.444185236672744,0.4449179347751252,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.42202835574828657,0.4226688716132184,0.4173567873353302,0.4191846646343763,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.4164386256268614,0.4185976071348255,0.41164119367403706,0.41196543004345465,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.41073232803365956,0.41382843695925386,0.4118744450712536,0.4144106632600709,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.4145753230216137,0.4115019367238085,0.4173567873353302,0.41464350454111554,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.41550697432423755,0.4134793953637549,0.40802521856083074,0.4111503523045822,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.4091019826776471,0.4152242483536118,0.4109413504891025,0.41522574099894316,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.4139931075928426,0.41673649569337845,0.41560709037971055,0.41732166787558744,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.4173701880823265,0.4155732012022012,0.4161903523626783,0.4166229663588322,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.41550697432423755,0.4175507485890574,0.41560709037971055,0.4134791204622711,0.0,0.18126555239181041,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.41329432469229543,0.4155732012022012,0.4136241420268737,0.415458582279988,0.0,0.22929930011198718,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.4293649986975009,0.4281360362328782,0.4283214718634828,0.42686975946100925,0.0,0.4458735514353319,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.4351876860681617,0.44151312415923394,0.43718653784354833,0.44165762381963647,0.0,0.619677304694747,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.4425242401702171,0.44162947135773345,0.44068584276150424,0.4431714030752637,0.0,0.6337109908799272,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.44240776154559935,0.45151685330437574,0.4424355397171241,0.45155502174503026,0.0,0.7040429238297436,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.4507924455748963,0.4493067002674299,0.4346203275077437,0.43734939384423066,0.0,0.5299519945942962,0.6809184983446945,0.7022185315359354,0.4377425123416617,0.42558006693147865
0.4378660725042568,0.4359296123410744,0.43543684088792867,0.43443838922871414,0.0,0.5005050566623414,0.6809184983446945,0.7022185315359354,0.4359495867477742,0.42609767644034235
0.43204338513359597,0.43418484809812685,0.4255220101304614,0.4251231389243372,0.0,0.41565521543558204,0.6809184983446945,0.7022185315359354,0.43474673603177927,0.4258493506509107
0.425638482334164,0.43069514211841364,0.4217893648220049,0.43327391631305934,0.0,0.49392608531747273,0.6809184983446945,0.7022185315359354,0.4332971260049697,0.42624801531688616
0.4351876860681617,0.4362786539365734,0.43427040591527655,0.43851377792307533,0.0,0.5389875210118639,0.6809184983446945,0.7022185315359354,0.4315396560780874,0.4270673504492666
0.43914707083357485,0.43907036547219824,0.436136684072863,0.4379315414652477,0.0,0.5332096674584713,0.6809184983446945,0.7022185315359354,0.43035009162021665,0.4275920609583195
0.4349547288189263,0.43453380094671645,0.4317041955794719,0.43245883857418665,0.0,0.4796365056648174,0.6809184983446945,0.7022185315359354,0.4309552176567847,0.42833588394364464
0.43204338513359597,0.4373255124823415,0.42995449862385227,0.4353698431897032,0.0,0.5076745888309672,0.6825586522184863,0.7022185315359354,0.43143314413313505,0.4302668700365557
0.43425603476553765,0.44232737705491243,0.4324040387644065,0.44375355069628075,0.0,0.5813942901136496,0.6907437992993203,0.7022185315359354,0.43301640541468067,0.4316527719536871
0.4452027154534707,0.44570073583612635,0.443601974689776,0.4434042443563083,0.0,0.5775447743792527,0.6967583541192129,0.7022185315359354,0.4342084349125147,0.4333896360490537
0.44194193589428765,0.44407223004476937,0.4415023561416892,0.4434042443563083,0.0,0.5775447743792527,0.701291955120934,0.7022185315359354,0.4346361694693014,0.4362936113504947
0.4425242401702171,0.4401172240179668,0.43951940778885235,0.4411918524207362,0.0,0.5504367601312624,0.7027882695755975,0.7022185315359354,0.434809079598827,0.4388117859386753
0.4384483767801862,0.44453753009185826,0.4401026697718201,0.44561663629188064,0.0,0.5938536570350275,0.7073638819327723,0.7022185315359354,0.4354489977360315,0.44108092578476965
